OBJECTID,DATE,Count_
672,2022/01/18 10:00:00+00,80
673,2022/01/19 10:00:00+00,71
674,2022/01/20 10:00:00+00,48
675,2022/01/21 10:00:00+00,70
676,2022/01/22 10:00:00+00,57
677,2022/01/23 10:00:00+00,46
678,2022/01/24 10:00:00+00,55
679,2022/01/25 10:00:00+00,45
680,2022/01/26 10:00:00+00,48
681,2022/01/27 10:00:00+00,48
682,2022/01/28 10:00:00+00,39
683,2022/01/29 10:00:00+00,41
684,2022/01/30 10:00:00+00,33
685,2022/01/31 10:00:00+00,41
686,2022/02/01 10:00:00+00,31
687,2022/02/02 10:00:00+00,43
688,2022/02/03 10:00:00+00,29
689,2022/02/04 10:00:00+00,44
690,2022/02/05 10:00:00+00,31
691,2022/02/06 10:00:00+00,31
692,2022/02/07 10:00:00+00,23
693,2022/02/08 10:00:00+00,27
694,2022/02/09 10:00:00+00,22
695,2022/02/10 10:00:00+00,17
696,2022/02/11 10:00:00+00,16
697,2022/02/12 10:00:00+00,18
698,2022/02/13 10:00:00+00,12
699,2022/02/14 10:00:00+00,17
700,2022/02/15 10:00:00+00,15
701,2022/02/16 10:00:00+00,13
702,2022/02/17 10:00:00+00,6
703,2022/02/18 10:00:00+00,17
704,2022/02/19 10:00:00+00,13
705,2022/02/20 10:00:00+00,15
706,2022/02/21 10:00:00+00,17
707,2022/02/22 10:00:00+00,15
708,2022/02/23 10:00:00+00,6
709,2022/02/24 10:00:00+00,21
710,2022/02/25 10:00:00+00,12
711,2022/02/26 10:00:00+00,10
712,2022/02/27 10:00:00+00,9
713,2022/02/28 10:00:00+00,5
714,2022/03/01 10:00:00+00,12
715,2022/03/02 10:00:00+00,10
716,2022/03/03 10:00:00+00,10
717,2022/03/04 10:00:00+00,10
718,2022/03/05 10:00:00+00,3
719,2022/03/06 10:00:00+00,8
720,2022/03/07 10:00:00+00,8
721,2022/03/08 10:00:00+00,11
722,2022/03/09 10:00:00+00,7
723,2022/03/10 10:00:00+00,4
724,2022/03/11 10:00:00+00,11
725,2022/03/12 10:00:00+00,9
726,2022/03/13 10:00:00+00,4
727,2022/03/14 10:00:00+00,9
728,2022/03/15 10:00:00+00,4
729,2022/03/16 10:00:00+00,6
730,2022/03/17 10:00:00+00,1
731,2022/03/18 10:00:00+00,3
732,2022/03/19 10:00:00+00,5
